1.5 1.89085e+14
0 1.89085e+14 0
1 7.65164e+13 1.29351e+14
2 -7.34525e+13 7.8831e+13
3 -8.30782e+13 -3.79086e+13
4 -2.5477e+13 -9.1126e+13
5 3.93199e+13 -1.06743e+14
6 1.02332e+14 -4.19363e+13
7 5.8687e+13 7.97222e+13
8 -7.88309e+13 7.67185e+13
9 -9.76986e+13 -5.0283e+13
10 2.13737e+12 -8.48467e+13
11 3.37881e+13 -1.43303e+13
12 4.52501e+12 1.15957e+13
13 6.67079e+12 1.78722e+13
14 -1.86909e+13 4.0179e+13
15 -6.20188e+13 -1.84348e+12
16 -1.47695e+13 -5.1793e+13
17 4.35073e+13 -7.52218e+11
18 9.54138e+11 4.69092e+13
19 -2.53162e+13 8.14717e+12
20 1.75541e+13 4.22995e+12
21 8.62546e+10 4.92839e+13
22 -4.7282e+13 1.42379e+13
23 -1.76153e+12 -4.43077e+13
24 5.58305e+13 -1.38135e+13
25 3.83724e+13 2.1722e+13
26 3.06494e+13 1.79009e+13
27 2.24827e+13 4.64366e+13
28 -5.30473e+13 4.04868e+13
29 -7.17287e+13 -6.9093e+13
30 4.02246e+13 -1.10178e+14
31 1.04957e+14 -5.57994e+12
32 3.33145e+13 6.69791e+13
33 -3.06913e+13 4.58847e+13
34 -5.30194e+13 1.92219e+13
35 -6.54544e+13 -2.73563e+13
36 1.90884e+12 -9.01779e+13
37 9.65537e+13 -3.31633e+13
38 5.4559e+13 7.96608e+13
39 -5.24637e+13 5.88544e+13
40 -3.98248e+13 -3.27121e+13
41 1.64745e+13 -4.0287e+13
42 1.29736e+13 -1.51621e+13
43 1.83592e+13 -1.49384e+13
44 2.43681e+13 2.27138e+13
45 -3.50143e+13 3.13692e+13
46 -5.38409e+13 -4.80113e+13
47 2.73395e+13 -6.27906e+13
48 5.15537e+13 3.02527e+13
49 -1.92454e+13 5.33356e+13
50 -3.6386e+13 -4.94715e+12
51 -8.0711e+12 -1.10068e+13
52 -1.99159e+13 -8.39048e+11
53 -7.77904e+11 -2.89903e+13
54 4.83284e+13 -3.01611e+12
55 1.00382e+13 5.092e+13
56 -4.88293e+13 1.03846e+13
57 -3.74288e+12 -3.46136e+13
58 3.66512e+13 1.39328e+13
59 -9.89643e+12 3.75246e+13
60 -1.90542e+13 -9.88998e+12
61 1.79061e+13 -8.57417e+12
62 4.49512e+12 1.82975e+13
63 1.98329e+12 -1.76942e+13
64 5.54737e+13 -1.74069e+13
65 4.18297e+13 4.30305e+13
66 -3.435e+13 2.6966e+13
67 -2.41857e+13 -4.1377e+13
68 2.29718e+13 -3.36325e+13
69 3.23844e+12 -1.80185e+13
70 1.33797e+12 -4.9304e+13
71 4.67234e+13 -1.62049e+13
72 1.0532e+13 5.18308e+13
73 -6.23691e+13 2.38881e+13
74 -4.51133e+13 -3.5725e+13
75 -1.14975e+13 -1.91986e+13
76 -1.68857e+13 -1.55473e+13
77 2.29701e+13 -3.38574e+13
78 6.35021e+13 2.89378e+13
79 -8.85498e+12 8.66372e+13
80 -7.31715e+13 2.14901e+13
81 -2.16045e+13 -4.53939e+13
82 2.57585e+13 -2.16341e+13
83 1.78763e+13 -7.15957e+12
84 3.80603e+13 -1.67415e+12
85 3.52645e+13 5.18251e+13
86 -4.17668e+13 4.52063e+13
87 -5.04381e+13 -4.74342e+13
88 3.9113e+13 -5.60511e+13
89 5.94391e+13 1.68904e+13
90 8.1793e+12 2.46973e+13
91 1.49568e+12 -4.27e+11
92 -1.11328e+13 1.2601e+13
93 -4.77539e+13 -2.10657e+13
94 -2.11299e+11 -8.3593e+13
95 7.33772e+13 -3.58177e+13
96 3.03288e+13 4.84063e+13
97 -4.48297e+13 3.48886e+13
98 -4.3267e+13 9.03021e+11
99 -4.70206e+13 -1.38942e+11
100 -5.11411e+13 -4.95266e+13
